Catagory,Dimension 1,Dimension 2
0,1160.142574,-293.9175436
0,1269.122443,15.63018184
0,995.793889,39.15674324
0,-407.1808025,-67.38031982
0,930.3411802,189.3407416
0,-211.591259,-79.87744626
0,821.2108999,-47.14966994
0,-25.08997758,-74.18601461
0,-191.2928344,-42.12648962
0,-238.2928632,-65.38650692
0,304.6878181,-17.72505984
0,424.3611283,-109.2202997
0,634.5143352,167.2054357
0,63.04269063,111.6775757
0,-196.4412095,29.65793425
0,56.00468283,-29.14834858
0,235.8581195,-108.425643
0,447.3927797,-102.1515664
0,1615.093453,-270.3333511
1,-191.6210454,12.25917767
1,-285.0512749,14.5573619
1,-683.5839523,-32.57612602
0,112.5604588,-9.160553988
0,1873.733116,-260.1960553
0,1273.730657,-479.3214187
0,634.8797685,-79.93167625
0,8.591841257,-16.98442054
0,677.7845259,104.824662
0,373.7198815,-135.3347628
0,453.6780888,77.39995468
0,903.981279,-38.91018766
0,-103.6893115,-187.6853243
0,524.9452025,-31.2276266
0,1062.171586,-50.24014888
0,404.3859342,-67.07954492
0,410.0497559,2.864131897
0,-80.65779458,23.36352733
1,-355.8778497,61.53556617
0,-128.9731559,132.606887
0,-170.2457228,-9.054875298
0,-127.9947608,-30.68749823
0,-462.0280077,-52.80258739
0,897.0274271,-15.17205251
0,-34.37520146,-107.6727615
0,-184.7073626,-33.08065885
0,807.5645733,4.271380335
1,-783.8386678,-56.82655599
0,-166.7571835,-40.01468421
1,-362.6995066,-21.21539524
1,-205.1117444,13.94028725
1,-430.0340798,-5.319685089
1,-235.8935303,45.13060521
1,-416.4695068,-2.57068803
0,576.3603079,95.45172422
0,157.4040789,-28.15674752
1,-448.9827192,-16.14120015
0,1342.138565,-231.14827
0,90.99894938,-52.66424873
1,-286.1454359,23.93329824
1,-744.0918348,-54.30082747
1,-616.7297207,-27.73524532
1,-745.600808,-56.16454295
0,64.40838621,-48.46995593
1,-693.9616993,-41.22118759
0,-74.27680463,-137.5430707
0,45.17542968,-11.52265902
1,-672.376704,-44.88246241
1,-490.8795292,-8.460320041
1,-687.2231992,-57.79596751
1,-358.9818729,38.71049115
0,1092.401048,-105.0357593
1,-724.662583,-42.22810515
0,828.5811985,-180.6678687
0,-95.55636165,-25.01734283
1,-327.2155227,-17.59424779
0,379.6023865,-38.20142278
1,-285.2781192,61.34647504
0,811.3900045,-77.4173801
0,946.8658579,120.5741511
1,-299.2501959,7.078303393
1,-436.5039393,-32.45033449
1,-298.3626559,22.67217734
0,2077.405939,173.5183385
0,606.8243266,191.9233704
1,-378.6613859,-18.84099565
0,838.2360335,-15.47440777
0,-64.46308434,31.64126625
0,854.6137988,-25.18453065
1,-360.5001226,-2.828566866
1,-66.79162715,37.83677258
1,-61.94248441,46.67275028
0,-4.737083209,88.70351581
1,-96.55625225,-62.35469643
1,-207.4772122,8.710406584
0,150.7530373,-31.26636052
0,1062.203762,69.8321701
1,-436.3735475,25.75383782
1,-628.7692958,-41.65559212
1,-442.1212495,-16.25739917
0,-53.10555283,17.59638693
0,-15.09702531,-75.33594625
1,-863.1423078,-77.39952057
1,-388.0270393,4.613189884
1,-631.2101937,-35.82481722
1,-575.3755936,-24.89222143
0,-110.4783615,-78.76476106
1,-433.8558747,-21.21052061
1,-387.2585891,13.4995598
0,1716.419222,-36.54873436
1,-445.5942605,-33.17914078
1,-629.9309318,-45.66881436
1,-393.4956179,34.15477393
1,-159.5500901,68.20417402
1,-600.7745424,-11.69161602
1,-732.3505585,-53.75486907
1,-367.7523085,-30.68792326
1,-736.7440057,-33.80955099
0,198.2507214,-87.51014142
0,402.2178698,-93.71470143
0,495.8869007,82.41878561
1,-448.9325473,-23.22263269
0,793.4673048,14.43270228
0,1604.798405,328.66757
1,-123.5245956,58.30163904
1,-266.5533199,42.26306515
1,-167.7471278,23.65573256
0,-70.65063466,-54.09744156
0,815.3241591,72.15386434
1,-90.24696965,78.61442512
0,885.9992731,91.83357476
1,-391.368534,3.833764143
0,284.9481321,-62.39201452
0,332.7756876,-20.21902649
1,91.16660918,69.69070588
0,826.1321271,-8.924603676
0,-272.4439652,-9.516460124
1,-406.0460327,-24.61734875
1,-492.1186758,-1.089467229
0,93.69534279,-26.59172539
1,-523.1634568,0.873332816
1,-652.274806,-34.63870446
0,385.4495913,-47.3833262
1,-457.4491289,-23.89708943
1,-277.6489991,0.876978343
1,-532.8415854,-28.43475702
1,-433.3320986,2.769749584
0,-363.4605352,-40.66845868
1,-42.35855196,66.69742406
1,-105.4686753,46.56100983
1,-169.6293551,20.52307708
1,-296.3114454,21.1761856
1,-776.088604,-59.07337811
1,-611.7500008,-43.85212649
1,-519.5616007,-5.354182412
1,-234.8847408,6.375290025
1,-373.0137108,-2.359773082
0,523.8767669,46.05374875
1,247.0709624,114.2959156
1,-406.2090547,3.983222263
1,-502.2935649,-33.53432417
1,-409.978422,-26.30228425
0,790.6213915,111.272011
0,1448.428359,-223.2407806
1,-379.99084,7.119261741
0,1839.368886,91.28889734
1,-67.10631802,81.31249368
1,-555.4062103,-12.22287273
0,446.2026757,1.224992074
0,842.4144496,-122.1921967
1,-58.89248165,71.76859982
1,-383.8674532,8.911869351
0,50.48770751,-135.3955278
0,232.5151635,-44.38499742
1,-562.0950015,9.808525489
1,-563.845042,-16.1867354
1,-755.967624,-43.84109421
1,-603.4441352,-47.2085163
0,178.6885357,100.3392183
1,-300.7341386,30.92745517
1,-342.0388773,35.94391616
0,2828.241439,151.2485684
0,1376.392312,-65.75980251
0,390.1991572,-106.2241049
1,-486.0239429,-1.753711313
0,107.0582802,-0.382196566
1,-555.7488398,-58.67936161
0,652.5821051,55.34526804
1,-430.2480929,-14.40618304
1,-453.4658367,9.496864328
1,-386.0673864,9.761665384
0,-124.3508662,23.02558976
1,-333.2983592,30.34363499
1,-685.469642,-14.72224211
0,-187.8308017,-94.08380087
0,-73.13316191,64.28037585
1,-312.6973207,26.82288547
0,-96.16242189,-18.04956112
0,490.8180294,135.7539365
0,947.8732192,2.667546795
0,132.4197507,-95.37957053
1,-308.5258876,-40.27791179
0,461.2178122,67.93643511
0,1482.608856,307.417114
0,204.4185988,-190.3832772
1,-263.6234358,-42.76855265
0,124.6700538,-3.634179216
1,-658.2074597,-22.91607622
0,412.9429229,42.59297969
1,-272.4127379,17.94658072
1,80.26989192,33.45177335
0,997.0514718,141.21597
1,-405.09297,-20.74218117
0,2366.700708,739.620918
0,273.6382714,178.2270054
0,-81.93358585,-1.780310236
0,-151.6218877,2.880152251
1,-415.4281089,-9.19541221
1,-582.3541503,-38.21530734
0,1267.959966,-93.60121265
0,1662.815348,-343.2790372
1,-194.8765222,17.09485485
1,-215.2065002,20.86693074
1,-611.0931152,-30.54316948
0,232.615719,-16.60882385
1,-204.0150932,-3.686248707
1,-12.78138356,-7.595199705
1,-585.7551316,-26.66118502
1,-46.99959732,63.13510947
1,-302.9439618,-2.576844194
0,-228.3277356,-39.08896593
0,388.5043378,45.54736514
1,-502.7210828,0.157794146
1,-491.1508939,-17.22572424
0,1194.011734,53.17521252
1,-662.8705125,-38.72301746
1,-168.8029063,41.60113818
0,2296.479988,-203.099281
0,1083.929749,105.6597623
1,-116.0862348,33.93519067
0,589.7968323,-46.66243309
1,-210.7333654,34.39792975
1,-382.9311517,22.28950211
1,-487.5823379,-15.61932619
1,-182.8924618,35.22318148
0,719.9063801,149.6522084
1,-574.5745079,-23.65424362
1,-298.6507166,47.56792964
1,-281.255737,3.451978882
1,-524.7691587,-43.28719878
1,-462.960334,-10.9322037
0,1338.898451,20.72935037
1,-447.2489389,-18.88388182
0,1188.532699,-74.67443443
0,433.7297747,56.66964782
0,1201.437579,-126.8779567
0,-73.88624475,-16.35872885
0,1184.930513,-70.06960795
0,73.35754374,25.59823
0,363.6071584,-76.68936918
0,178.606495,-3.326698978
0,1153.074366,41.07052594
0,433.2847709,62.77798687
0,509.6796726,35.90133597
0,145.3696832,32.50065098
0,617.2429672,-54.54308163
0,2584.828142,-671.5322626
1,-550.8155364,-27.39891107
1,-236.5922189,33.41877877
1,-317.44723,24.84442113
1,-564.2881411,-21.25989202
1,-180.884386,82.62404026
1,-502.1585716,-8.767657528
0,1726.094763,-64.80927335
1,-640.723401,-39.8914952
0,554.7930597,66.04534444
1,-462.6478556,24.5107156
1,-497.1180797,-1.739136921
0,535.8523048,197.975875
1,-164.8733019,2.682545086
1,-216.0548897,51.67881813
0,973.8915506,-24.58846667
1,-415.133649,-14.60954231
0,894.4191398,31.33096077
0,206.7001226,50.76272082
1,-316.3214078,29.77859598
1,-357.9357471,22.31270161
1,-397.8346404,-9.41485246
1,-333.4562894,38.69446326
1,-514.6765634,6.927028098
1,-496.1553892,-3.006708204
1,-96.62634421,56.14720797
1,-44.15070772,64.59926529
1,-327.0230188,32.5045174
1,-427.1733099,-1.953839495
1,-365.5121348,30.50040756
1,-226.4231325,52.29901035
1,-570.8850773,4.281056807
0,-395.5124487,-21.6620018
1,-64.34429923,12.89665229
1,-610.8850977,-5.745246678
0,1299.232459,-127.4543881
1,-377.5103415,13.96465347
0,1010.010714,83.91113587
1,-600.5741323,-12.33147281
1,-465.9883597,-12.6188547
1,-470.2960586,6.160132052
1,-270.8680782,25.87791375
1,-723.5675605,-41.16817566
1,-202.7842225,18.57140744
1,-243.0666379,1.811320405
1,-464.3306831,4.044395697
1,-29.53065115,29.22975275
1,-302.9890616,7.023243849
1,-482.5002257,3.970648387
1,-775.0549462,-39.0794127
1,-379.3529255,26.28631291
1,-416.348258,25.19424272
0,710.4537911,4.611699017
1,-713.2699224,-48.44546089
1,-404.8130127,37.42873797
1,-592.3004763,-28.60091974
0,987.0231111,126.6299885
1,-319.48375,17.55783941
0,1222.212524,-27.80358562
1,-357.8126603,-14.16725507
1,-348.7658031,17.80791548
1,-132.657995,35.09663399
1,-415.4243105,6.569583563
0,288.8444289,11.2396008
0,171.3254116,98.38313932
0,233.8193274,20.25570746
1,-284.4518856,7.416193945
1,-520.4291766,1.643249584
1,-470.8422272,-25.48156131
1,-388.1389499,11.38161868
0,551.656022,-24.06430799
1,-334.9555905,37.98114192
0,1078.04794,-141.2503388
1,-605.0352979,-36.95291378
0,2304.217593,-117.5351092
1,-23.0141426,-1.914592176
1,-647.0164312,-47.12542572
1,-524.4292476,-11.80377872
0,845.9471416,119.0009968
1,-434.2344737,-11.63522809
1,-622.2553363,-13.53281579
1,-382.09743,-14.42392954
1,7.115016553,11.86803265
1,-478.8999958,-5.782675266
1,-447.9988682,4.47918121
1,-411.6146887,-24.70255182
0,84.93189008,71.36345367
0,2721.000901,-62.73629346
0,178.4934156,-35.04702503
1,-506.4148934,-9.527172321
1,-373.2918808,28.44266794
1,-322.3788492,28.12216211
1,-192.0167148,44.29091435
1,-710.8782249,-54.05302174
1,-573.5127559,-93.44911858
1,-337.6628306,13.60310883
1,-279.2641794,41.51814841
1,-340.8093591,20.7287599
1,204.7570059,90.21172539
1,-240.3804018,24.96807422
0,1102.177093,78.98759047
0,980.5214691,85.49752424
1,-322.0540136,-35.3392209
0,2404.94229,-412.3091426
0,1586.128292,8.948258948
0,340.2523758,11.23889586
1,-24.21458045,80.77795296
0,939.3997208,285.8529642
0,1265.882498,28.63915601
1,-220.1416397,44.19961306
1,52.15293688,124.5511704
1,-618.2891775,3.493500169
1,-220.4544091,24.16551454
1,-231.1530556,52.56296299
0,-471.8672477,-57.72276127
1,-486.648595,-19.86139495
1,-518.9772933,-16.57342764
1,-444.3804169,26.30579365
1,-340.0812115,-18.81404202
1,-279.5295579,36.72480785
0,-99.76975919,71.94993836
1,-401.127519,17.06298315
1,-146.8905143,20.388089
1,-505.808135,-1.358969074
0,641.4979258,219.9562003
1,-590.7192809,-32.99985091
1,-701.7313487,-67.73170088
0,457.6872589,-171.3428402
0,1418.976884,20.35717888
1,-383.9077624,-11.90553497
1,-192.9155745,62.57301862
1,-226.8353326,23.87510286
1,-324.2230544,25.06591479
1,-473.7575375,-37.67429168
1,-389.2302597,-25.52449552
0,539.3990894,70.83058341
1,-360.470743,-30.53239418
1,-289.4054923,23.34547149
1,-334.3066071,29.56062989
1,-394.3593425,21.52568095
1,-497.8615131,-32.00779746
1,132.1733624,89.36472058
1,-273.669212,1.82922419
0,576.2095876,45.16639618
1,-330.1642047,-21.29695257
1,-441.247952,-32.13544342
1,-497.8676452,-28.82723528
1,-698.4528161,-29.99110508
1,8.282176937,40.24890704
0,77.34963631,28.79057905
1,-421.8636637,-3.60094538
1,-646.3088545,-58.21306207
0,826.2111421,-322.9015164
1,-352.5999277,26.09555693
1,-505.3248904,-15.81599312
1,-436.3380092,-23.00791054
1,-59.15737337,38.71074425
1,-475.7429051,-0.849174313
1,-189.0644892,21.17127582
1,-617.1943848,-53.22721109
1,-613.8294427,-36.08727272
1,-544.4131556,-46.54315518
1,-488.8048818,-49.73863718
1,-537.1739759,4.071926862
1,-331.9930637,21.100847
0,-24.8657913,51.0200527
1,-410.186841,29.41037023
0,821.5897281,198.6761018
0,857.3901811,14.62934678
1,-79.18892836,69.74141686
0,-39.12097262,-41.60496715
1,-293.1703346,7.068710749
1,-134.6698903,30.52391502
1,-145.2507303,14.95826518
1,-190.1649364,58.19443084
1,-493.6908431,-32.79679134
0,488.3762284,24.94406606
1,-185.1452471,31.46796939
1,-604.8229708,-1.940742145
0,525.7068878,73.27576144
1,-425.6335122,7.48960871
0,646.0462247,-9.448464861
1,-34.32414152,43.65001698
1,-41.02131852,30.10846555
0,1356.45994,30.99942455
1,-436.1925845,3.045139536
0,741.3848904,178.1110648
1,-416.9411526,3.214886029
1,-117.8713346,58.9600115
1,-296.968964,-10.44044799
1,-200.8809526,7.045430597
1,-427.1058703,-22.32386453
1,-273.8215572,28.27681179
1,-286.5887661,15.44977298
1,-644.9288875,-36.56033667
0,803.7161116,-162.0986902
0,3867.178053,-171.0174397
1,-130.3343671,68.15347826
1,-457.0541586,-7.28545535
1,-227.4110273,-0.502889106
1,-183.9281351,-19.40288898
1,-225.3954983,-1.466104667
1,-620.8721713,-56.00227675
0,648.8111184,-9.678224988
1,-429.7482089,-27.50701439
1,-615.058977,-56.18982384
1,-373.872299,-12.99715802
1,38.13055425,14.01479642
1,-373.8933344,4.624157165
1,-538.1164417,-21.06841632
1,-313.28262,16.05461012
1,-63.49267252,-4.079858831
1,-168.3438669,36.4380669
1,-484.4815414,0.419557084
0,134.5032612,107.4572182
1,-389.8089526,2.076005472
1,-70.46296606,-18.56009661
1,-246.2585928,21.65307323
1,-210.5134208,29.11856078
1,24.43470655,92.96041872
1,-349.0918378,3.538795885
1,-37.62907412,35.23655914
0,1002.148505,-7.998199968
1,-405.353203,-28.82054937
0,278.679418,67.77140995
1,-319.3725071,-27.68526209
1,457.3394062,117.6746039
0,652.2445284,18.50940412
1,-389.6945281,28.04872503
1,-259.6417097,21.10488767
1,-70.23449408,72.65161952
1,-300.0301103,-16.59765887
1,-325.9289823,-7.778530153
0,832.6097734,-19.68378896
0,1099.486889,112.5974208
1,-2.306756775,42.17315534
0,-109.4647009,-2.229268958
1,-374.9350842,17.87007155
0,2166.185165,-108.422615
1,-708.6523661,-46.30996976
1,-672.5911151,-40.41024655
1,-418.6532942,16.97583502
1,-552.9796632,-3.106955447
1,125.2615466,116.5101017
0,64.59651213,50.65087436
1,-468.3356432,15.36504681
1,-90.54705821,84.70293714
0,-81.75387141,-65.15700805
1,-13.88299176,13.2422161
0,98.35553604,-4.575815812
1,-482.149027,-17.04336266
0,731.3671967,22.00025615
0,946.2959465,81.05050906
1,-260.0526251,-31.3150416
1,-303.4925557,-4.545995501
1,-681.583641,-52.40106341
0,2127.018093,100.2876687
1,-520.8085196,2.302135137
1,-196.8935223,21.10308012
1,-620.5612043,-48.09379429
1,-745.0221205,-57.43169133
1,-192.43067,-5.308366189
1,-368.577841,4.341581125
1,-225.5234695,66.51805817
1,-392.9290181,-7.666123857
1,-401.6743881,-28.11473807
1,-407.5358313,-33.11642143
1,-134.1033918,-12.27880202
0,991.3787299,154.5267666
1,-556.6167978,-2.126579896
0,1135.581948,77.07462712
0,-143.9945673,57.60467871
1,-465.8665377,-8.713392672
1,-790.3132418,-79.81649146
1,-815.9802671,-74.33641814
1,-493.6479326,3.930970624
1,-60.78251168,38.56071307
1,-39.66207192,39.81482204
1,-276.2578633,30.42193032
1,-201.2540784,39.81824003
1,-171.841169,8.356060682
1,-597.2254139,-25.31029977
1,-623.0764928,-14.52324739
1,-635.0640425,-48.234603
1,-473.4727521,-56.55340726
1,-554.7642704,-9.017131455
1,-524.6600562,-6.280799591
1,-322.0543423,22.37405544
1,-704.9670337,-31.30124481
1,-317.9263376,27.36940912
1,-622.2145362,-14.27431687
1,-636.0462559,-17.04360021
1,-670.677027,-43.20695936
1,-125.2451357,78.42343253
1,-479.3357069,-4.37787349
1,-177.242816,43.72314322
1,-518.0118631,-1.530854724
0,61.94079861,35.26480218
0,1167.136978,105.5966791
0,1414.126684,110.2224921
0,1045.018854,77.05758852
0,314.5017562,47.55352518
0,1124.858115,34.12922497
1,-771.5276219,-88.64310636
